,섬유제품;의복제외,"의복,의복악세서리및모피제품","가죽,가방및신발",목재및나무제품;가구제외,"펄프,종이및종이제품",인쇄및기록매체복제업,화학물질및화학제품;의약품제외,의료용물질및의약품,고무제품및플라스틱제품,비금속광물제품,1차금속,금속가공제품;기계및가구제외,"전자부품,컴퓨터,영상,음향및통신장비","의료,정밀,광학기기및시계",전기장비,기타기계및장비,자동차및트레일러,기타운송장비,가구,기타제품,경공업,중화학공업,비제조업,건설업,서비스업,도매 및 소매업,운수업,숙박 및 음식점업,"출판,영상,방송통신 및 정보서비스업",부동산업 및 임대업,"전문,과학 및 기술서비스업",사업시설관리 및 사업지원서비스업,교육서비스업,"예술,스포츠 및 여가관련서비스업",수리 및 기타개인서비스업,시기
0,67.0,71.2,86.8,72.8,78.6,81.2,89.9,93.5,78.4,83.7,69.4,87.2,90.9,87.5,86.6,76.5,81.9,86.7,81.9,84.6,0.0,0.0,82.3,77.6,83.8,83.1,79.5,74.5,93.6,83.5,93.7,86.6,95.4,70.8,80.1,2015.02 월
1,86.1,78.1,89.9,80.8,85.5,88.7,93.3,114.7,90.7,98.1,77.6,94.8,108.4,92.6,98.8,82.0,96.3,94.1,85.1,93.1,88.2,92.5,93.7,88.1,95.4,93.6,94.2,108.1,98.0,98.6,97.6,99.7,102.3,110.7,88.1,2015.03 월
2,89.6,82.5,96.3,94.2,80.3,78.5,95.9,106.1,98.6,104.0,83.7,95.5,101.4,94.9,89.4,87.7,94.9,93.1,74.0,92.6,90.8,93.3,90.9,88.0,91.8,88.5,97.8,106.3,98.9,97.1,95.4,95.1,93.2,110.8,92.0,2015.04 월
3,88.4,81.7,95.3,87.1,89.9,72.9,99.0,106.2,95.1,105.5,83.5,95.3,98.0,91.8,89.5,91.5,97.8,94.9,78.4,84.4,90.8,94.3,94.5,87.2,96.8,96.0,93.8,113.9,95.6,95.6,97.8,94.5,99.1,107.3,87.2,2015.05 월
4,82.9,80.7,99.1,78.1,89.7,68.5,88.4,107.7,96.7,94.1,79.9,94.4,100.4,89.0,92.0,81.0,95.2,92.0,77.2,91.0,90.3,90.0,89.9,85.6,91.3,89.2,95.3,95.7,92.3,106.1,94.4,93.3,101.7,92.6,94.3,2015.06 월
5,78.9,72.2,76.6,74.4,73.1,59.0,85.1,99.3,80.3,86.4,70.6,89.1,95.2,83.1,89.3,83.8,87.9,82.1,71.5,75.2,80.1,85.8,79.8,83.9,78.6,75.5,80.2,76.1,88.3,97.1,88.3,84.0,96.4,76.7,85.4,2015.07 월
6,78.1,78.3,72.1,76.1,70.9,62.0,80.1,91.5,78.1,82.1,78.6,82.6,81.0,83.2,84.0,76.3,83.5,82.9,61.8,72.9,79.3,80.8,79.0,79.7,78.9,77.1,81.3,76.4,84.3,94.4,89.3,85.0,98.6,84.4,87.3,2015.08 월
7,87.7,84.3,84.2,87.4,84.6,79.2,81.3,111.3,87.9,93.0,81.5,89.6,91.1,85.7,90.4,84.3,89.4,88.8,72.6,75.0,88.2,87.4,93.4,88.5,94.5,94.9,93.0,87.2,98.8,89.4,96.3,92.8,102.5,84.8,90.3,2015.09 월
8,88.9,87.8,92.8,89.9,87.8,91.1,86.4,99.4,89.9,90.8,91.1,93.1,89.8,90.5,95.9,87.6,96.4,94.1,86.3,83.6,92.2,91.3,93.5,84.4,95.4,95.4,93.3,102.6,94.9,93.4,92.6,97.9,91.5,96.0,89.1,2015.10 월
9,86.9,87.0,80.4,91.0,88.7,88.9,94.2,106.4,90.1,95.4,91.9,89.4,89.5,91.6,91.7,82.7,88.7,90.7,75.4,86.6,89.8,89.5,90.5,85.1,91.7,91.5,94.7,98.3,91.5,88.8,93.9,86.2,85.8,82.4,83.1,2015.11 월
10,76.9,78.5,74.6,74.2,85.0,98.0,84.0,95.0,82.4,86.9,82.0,83.5,84.6,86.0,82.0,74.5,86.2,83.5,76.4,86.1,85.8,82.3,87.5,81.5,88.7,87.2,93.7,105.1,92.5,83.9,92.5,86.1,91.7,81.2,93.4,2015.12 월
11,76.2,74.0,76.4,62.5,84.9,86.0,79.7,98.8,79.0,71.7,78.2,77.9,93.2,82.3,83.5,72.9,80.4,80.9,72.6,79.6,80.2,79.6,83.4,73.7,85.5,84.6,87.0,88.3,87.0,83.9,92.4,85.8,102.0,76.9,87.3,2016.01 월
12,66.3,66.4,69.6,63.1,82.7,90.1,88.0,95.8,70.0,70.6,76.7,75.2,91.1,80.0,77.6,77.3,84.8,79.7,78.8,74.1,74.8,80.2,78.2,74.2,79.0,77.7,87.1,74.2,87.9,78.8,87.7,85.5,87.9,71.5,77.5,2016.02 월
13,85.4,80.2,97.8,75.5,82.6,94.7,91.5,104.4,95.3,94.8,89.4,93.1,89.7,79.7,91.7,80.0,91.4,82.6,89.6,85.7,88.5,89.0,89.3,80.3,91.2,90.4,92.4,92.3,94.4,92.0,95.2,94.8,84.5,109.6,90.7,2016.03 월
14,90.9,84.2,107.7,93.9,93.0,87.5,92.9,99.1,104.6,104.6,93.6,92.7,94.2,84.7,101.7,87.8,92.2,86.7,94.8,87.2,97.2,93.4,92.0,89.4,92.4,87.6,93.6,85.8,98.6,93.9,99.0,95.4,118.5,102.2,98.6,2016.04 월
15,91.0,89.0,97.4,90.3,91.1,83.0,107.4,101.5,98.4,103.4,96.2,93.3,95.7,84.6,95.6,89.1,87.9,90.5,81.2,94.3,95.7,95.5,92.0,87.9,92.7,90.0,94.9,99.6,94.1,93.0,100.8,91.4,98.1,103.1,85.4,2016.05 월
16,84.4,90.7,82.4,83.3,89.9,77.4,98.2,102.7,93.3,95.4,83.5,96.5,98.2,89.4,95.6,87.8,86.8,78.3,74.4,94.9,89.4,92.4,89.2,90.7,88.9,86.6,91.1,85.8,95.4,92.5,93.3,92.7,94.3,89.8,83.3,2016.06 월
17,83.0,84.7,87.5,79.9,82.9,73.1,83.4,90.1,91.0,89.4,83.9,93.1,90.6,96.8,93.2,85.5,85.9,73.2,74.5,86.8,87.3,87.6,88.1,84.9,88.7,83.4,89.3,88.0,97.4,87.2,93.9,89.6,122.3,94.5,84.7,2016.07 월
18,81.6,75.4,86.9,78.4,85.1,77.3,94.5,89.4,81.9,75.0,87.7,81.5,91.0,82.5,84.3,80.0,80.7,73.3,59.9,82.6,83.5,85.0,85.4,86.2,85.3,81.0,85.4,91.1,94.4,86.6,87.1,85.4,112.2,83.1,77.3,2016.08 월
19,95.8,89.7,88.9,82.8,93.2,93.5,83.7,93.3,97.0,94.1,88.9,90.5,96.6,87.7,88.1,84.0,86.3,76.9,84.6,85.0,97.1,88.2,89.6,84.7,90.5,89.5,97.1,92.1,95.8,91.3,97.1,89.0,76.5,88.1,87.8,2016.09 월
