,섬유제품;의복제외,"의복,의복악세서리및모피제품","가죽,가방및신발",목재및나무제품;가구제외,"펄프,종이및종이제품",인쇄및기록매체복제업,화학물질및화학제품;의약품제외,의료용물질및의약품,고무제품및플라스틱제품,비금속광물제품,1차금속,금속가공제품;기계및가구제외,"전자부품,컴퓨터,영상,음향및통신장비","의료,정밀,광학기기및시계",전기장비,기타기계및장비,자동차및트레일러,기타운송장비,가구,기타제품,경공업,중화학공업,비제조업,건설업,서비스업,도매 및 소매업,운수업,숙박 및 음식점업,"출판,영상,방송통신 및 정보서비스업",부동산업 및 임대업,"전문,과학 및 기술서비스업",사업시설관리 및 사업지원서비스업,교육서비스업,"예술,스포츠 및 여가관련서비스업",수리 및 기타개인서비스업,시기
0,64.4,74.1,84.7,75.9,75.6,83.6,86.1,98.4,80.4,78.5,74.6,87.0,90.5,87.0,86.8,78.7,81.8,80.0,87.3,87.2,0.0,0.0,84.2,76.8,86.4,86.6,78.9,74.6,93.0,85.2,94.8,89.1,102.4,71.6,82.8,2015.02 월
1,81.6,78.2,93.7,83.9,87.5,87.1,94.1,110.9,91.7,99.1,81.1,93.7,108.5,87.5,100.3,81.5,97.5,94.2,83.4,94.4,88.3,92.7,91.7,86.8,93.2,90.7,97.3,103.9,95.8,101.3,96.8,99.5,95.1,107.6,86.8,2015.03 월
2,91.0,83.1,100.7,93.6,75.0,78.7,94.0,109.0,98.0,102.5,87.6,96.2,99.1,90.3,90.5,84.8,92.7,100.0,75.7,93.1,89.8,92.6,90.2,87.8,90.9,87.2,96.7,104.6,99.0,99.0,95.0,96.4,95.3,112.9,91.9,2015.04 월
3,80.9,75.6,94.4,81.1,88.4,79.4,99.9,107.8,97.3,104.3,87.9,95.5,98.6,91.2,91.2,90.1,96.0,95.5,76.2,84.9,89.9,94.6,92.1,84.3,94.5,93.2,91.0,109.8,95.0,101.4,98.3,91.7,97.5,107.1,86.1,2015.05 월
4,82.2,81.4,99.6,82.9,84.0,71.8,91.2,109.9,94.5,90.9,86.1,94.1,101.9,84.5,91.3,82.5,94.1,87.9,77.2,89.5,89.0,90.8,89.1,82.6,91.1,89.4,94.8,96.8,92.8,101.6,91.5,94.1,101.8,92.6,89.5,2015.06 월
5,72.0,70.3,72.8,76.3,70.3,57.1,82.0,99.3,82.9,86.5,73.6,87.7,94.0,83.3,87.2,84.7,87.7,84.7,71.8,73.2,78.7,85.5,79.0,82.7,77.8,74.7,80.4,76.2,87.2,98.4,88.6,84.6,88.6,73.6,80.4,2015.07 월
6,71.5,73.9,74.6,79.7,73.5,61.1,77.7,92.3,77.3,79.1,75.8,82.0,83.1,76.8,84.0,77.4,83.2,77.1,62.8,78.2,77.6,80.2,78.3,80.5,77.9,76.1,79.0,76.3,82.4,92.1,87.0,87.3,100.0,84.9,85.4,2015.08 월
7,83.2,85.2,82.1,84.6,93.1,79.5,79.0,107.7,85.7,94.0,86.8,90.7,88.9,81.0,83.7,85.4,90.8,89.7,72.6,76.5,88.0,87.5,92.5,86.1,93.9,94.4,90.4,88.9,97.0,86.7,95.1,91.4,107.4,83.7,89.9,2015.09 월
8,87.5,86.4,85.1,87.4,89.1,93.7,87.1,100.7,90.9,92.6,94.3,92.8,94.6,88.1,98.1,85.5,97.4,95.3,82.5,77.8,91.9,92.1,93.4,85.6,95.1,95.2,92.3,100.0,94.5,93.9,94.5,97.4,88.5,96.5,86.4,2015.10 월
9,87.4,84.4,75.9,92.5,88.7,88.6,91.3,109.7,88.6,99.1,92.9,88.6,90.6,85.3,85.9,82.9,87.1,90.0,77.2,80.6,90.8,88.7,90.5,83.9,91.9,92.1,94.7,95.4,91.3,88.8,90.9,84.9,87.6,83.6,80.7,2015.11 월
10,73.7,71.9,64.9,74.9,89.4,100.7,82.3,99.5,82.6,80.6,78.7,79.7,84.1,83.0,78.0,75.1,85.3,85.5,75.2,79.3,85.2,80.4,86.3,78.8,87.8,86.1,93.4,100.8,91.8,85.9,93.4,90.7,89.5,82.6,93.2,2015.12 월
11,74.9,75.6,73.0,62.2,88.0,85.3,76.3,102.6,77.2,69.5,81.2,72.1,92.2,75.2,84.1,75.4,84.7,77.5,74.4,78.7,80.9,79.1,82.5,72.7,84.6,83.8,87.1,86.1,86.0,80.0,92.8,83.7,94.4,77.0,88.1,2016.01 월
12,70.4,68.7,67.7,69.4,83.5,85.8,86.5,98.2,69.9,67.5,72.4,74.0,91.5,73.7,80.3,76.4,84.5,80.1,80.4,77.2,76.8,79.2,79.3,71.2,81.0,81.0,83.4,74.4,86.1,72.6,85.7,84.7,80.1,71.4,78.7,2016.02 월
13,86.1,77.1,93.3,78.9,89.2,94.4,89.1,103.0,94.6,96.4,86.3,92.6,88.2,76.1,88.4,81.8,90.8,81.2,90.9,83.2,89.1,88.1,88.7,78.4,90.9,90.0,92.5,92.8,93.7,91.4,97.2,92.8,81.8,108.4,88.2,2016.03 월
14,93.0,80.5,107.7,94.0,94.0,81.6,96.8,102.0,99.7,100.3,97.0,93.2,88.9,86.7,98.0,90.2,91.4,87.1,93.9,87.2,97.2,93.8,91.1,86.2,91.9,87.0,95.3,84.4,97.5,96.2,98.8,96.8,116.9,97.9,96.4,2016.04 월
15,94.9,89.3,96.4,87.3,92.5,79.4,106.0,100.7,95.9,100.9,98.3,90.8,94.0,87.6,93.1,89.9,83.0,92.1,82.3,94.9,95.5,94.4,91.5,84.9,92.6,89.0,94.0,99.1,98.8,94.4,102.6,93.7,97.4,103.4,84.9,2016.05 월
