,Unnamed: 0,섬유제품;의복제외,의복의복악세서리및모피제품,가죽가방및신발,목재및나무제품;가구제외,펄프종이및종이제품,인쇄및기록매체복제업,화학물질및화학제품;의약품제외,의료용물질및의약품,고무제품및플라스틱제품,비금속광물제품,1차금속,금속가공제품;기계및가구제외,전자부품컴퓨터영상음향및통신장비,의료정밀광학기기및시계,전기장비,기타기계및장비,자동차및트레일러,기타운송장비,가구,기타제품,경공업,중화학공업,시기
0,0,0.0,0.0,2.3,5.3,3.1,2.5,1.0,0.0,1.5,0.7,0.0,0.0,0.7,1.7,4.3,1.3,0.0,0.0,2.1,0.0,0.0,0.0,2015.02
1,1,5.8,7.7,7.9,12.0,7.6,7.6,8.5,4.9,13.4,17.8,9.2,13.1,3.4,9.9,10.5,9.9,5.7,10.0,9.5,16.3,0.0,0.0,2015.02.1
2,2,75.4,69.6,71.7,72.8,81.7,66.7,81.8,90.2,69.6,62.5,67.6,77.4,72.7,78.3,76.0,72.0,87.8,77.2,78.8,80.2,0.0,0.0,2015.02.2
3,3,17.0,21.0,16.3,9.9,7.6,20.2,7.8,4.9,15.6,10.5,22.1,9.5,20.8,8.4,9.2,14.6,6.4,12.8,5.3,3.5,0.0,0.0,2015.02.3
4,4,1.8,1.6,1.8,0.0,0.0,3.1,1.0,0.0,0.0,8.4,1.1,0.0,2.3,1.7,0.0,2.2,0.0,0.0,4.3,0.0,0.0,0.0,2015.02.4
5,5,107.4,108.3,103.7,93.6,97.0,106.9,99.6,100.0,99.6,104.0,107.6,98.2,110.3,99.3,95.0,103.3,100.3,101.4,100.0,93.6,0.0,0.0,2015.02.5
6,6,0.0,0.0,0.0,2.5,2.9,0.0,1.9,0.0,0.0,0.0,1.0,0.0,2.1,1.7,2.6,1.1,1.4,0.0,3.9,0.0,0.5,1.2,2015.03
7,7,7.4,9.5,9.4,10.4,7.3,9.8,6.8,2.6,11.7,14.0,7.8,16.7,3.4,9.7,14.2,14.4,7.1,17.2,5.3,10.2,10.6,11.2,2015.03.1
8,8,74.3,69.7,79.2,78.1,81.2,58.2,81.9,95.9,77.4,69.4,64.5,72.5,78.4,74.6,72.3,69.4,80.0,74.5,84.3,84.2,74.4,73.6,2015.03.2
9,9,18.3,18.5,9.6,9.1,7.2,30.1,8.4,1.6,9.9,14.6,25.6,10.9,15.4,14.0,9.7,14.2,11.4,6.3,6.4,5.6,13.4,13.4,2015.03.3
10,10,0.0,2.4,1.7,0.0,1.4,1.9,0.9,0.0,1.1,2.0,1.0,0.0,0.7,0.0,1.3,0.8,0.0,2.0,0.0,0.0,1.0,0.7,2015.03.4
11,11,105.5,106.9,101.8,96.9,98.5,112.1,99.8,99.5,100.2,102.3,108.9,97.1,104.5,100.5,96.4,99.6,100.7,96.5,96.7,97.7,101.9,100.7,2015.03.5
12,12,0.0,0.0,0.0,0.0,3.1,2.5,0.9,1.0,0.0,0.0,0.0,0.0,2.2,0.0,3.9,1.1,1.4,0.0,8.0,0.0,0.7,1.0,2015.04
13,13,6.1,3.4,1.6,12.3,4.5,12.8,6.0,2.0,11.9,11.1,8.1,8.7,6.4,8.1,7.8,12.1,7.0,6.2,5.1,12.9,7.6,8.6,2015.04.1
14,14,82.7,80.1,80.5,79.9,72.8,56.3,84.7,92.8,79.6,71.1,68.8,81.2,69.9,82.8,83.1,74.1,86.4,86.8,79.4,75.7,75.4,78.1,2015.04.2
15,15,8.1,14.0,18.0,7.8,18.1,28.4,6.7,4.1,8.5,13.7,21.0,10.1,19.7,9.1,5.2,10.7,5.2,3.5,5.5,11.4,15.1,11.1,2015.04.3
16,16,3.1,2.5,0.0,0.0,1.5,0.0,1.6,0.0,0.0,4.1,2.1,0.0,1.7,0.0,0.0,2.0,0.0,3.4,2.0,0.0,1.2,1.2,2015.04.4
17,17,104.1,107.7,108.2,97.8,105.3,105.4,101.0,100.0,98.3,105.4,108.5,100.7,106.2,100.5,94.7,100.1,97.7,102.0,94.2,99.3,104.2,101.5,2015.04.5
18,18,0.0,0.0,0.0,0.0,1.5,0.0,0.9,1.1,0.0,0.0,1.1,0.0,0.0,3.1,2.6,3.2,1.4,0.0,2.0,0.0,0.6,1.3,2015.05
19,19,4.2,8.2,9.7,9.5,9.0,10.9,5.5,2.1,10.9,6.2,9.6,7.5,8.9,12.0,7.6,11.0,10.6,4.2,10.3,8.2,9.5,8.6,2015.05.1
20,20,75.9,71.2,78.0,78.2,77.3,56.2,80.9,91.6,76.1,81.2,66.2,81.9,70.0,73.1,76.5,71.8,78.1,83.9,76.0,81.7,73.8,75.9,2015.05.2
21,21,16.7,19.4,12.3,12.3,10.6,29.1,11.7,5.3,13.0,12.6,19.9,10.6,20.0,11.8,13.4,12.8,9.9,11.9,11.7,10.1,15.1,13.3,2015.05.3
22,22,3.1,1.2,0.0,0.0,1.5,3.9,0.9,0.0,0.0,0.0,3.2,0.0,1.1,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.1,0.8,2015.05.4
23,23,109.3,106.8,101.3,101.4,100.9,113.0,103.1,100.5,101.0,103.2,107.3,101.5,106.6,96.8,100.3,98.9,98.2,103.8,98.7,100.9,103.4,101.8,2015.05.5
24,24,0.0,0.0,0.0,0.0,2.9,0.0,1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.1,0.0,0.0,3.9,0.0,0.4,0.5,2015.06
25,25,7.3,5.2,8.9,14.5,7.3,11.3,5.0,3.7,11.5,3.6,15.4,6.7,8.1,3.2,7.7,10.4,7.5,3.6,9.3,5.0,10.3,8.1,2015.06.1
26,26,71.9,73.0,80.7,73.3,78.4,62.2,84.3,92.6,74.1,81.9,59.9,80.2,70.1,85.3,82.6,81.1,84.6,81.3,75.5,84.6,73.8,78.8,2015.06.2
27,27,14.4,18.7,8.1,9.8,10.0,24.1,9.7,2.1,14.4,12.4,21.4,11.8,19.5,11.5,8.3,5.3,8.0,15.1,11.3,10.4,13.7,11.2,2015.06.3
28,28,6.4,3.0,2.3,2.5,1.5,2.5,0.0,0.5,0.0,2.1,3.3,1.3,2.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.8,1.4,2015.06.4
29,29,109.9,109.8,101.9,100.1,99.9,108.9,101.4,98.6,101.5,106.5,106.3,103.9,108.1,104.2,99.0,98.3,100.2,105.8,97.1,102.7,103.0,102.5,2015.06.5
30,30,1.8,0.0,1.9,6.4,1.4,2.4,1.0,0.0,0.0,0.0,0.0,0.0,0.8,1.7,1.3,1.2,1.5,0.0,1.9,0.0,0.8,0.7,2015.07
31,31,7.6,5.4,7.8,8.3,7.3,13.9,2.7,4.5,10.2,7.1,8.5,5.3,3.6,3.2,15.9,7.0,8.9,1.5,12.1,9.6,8.3,6.8,2015.07.1
32,32,78.2,71.1,72.8,75.0,66.6,57.6,86.9,91.5,71.2,71.8,72.4,81.0,69.0,83.1,73.7,80.9,83.6,76.9,69.8,72.8,74.4,78.8,2015.07.2
33,33,8.0,20.9,15.7,10.3,21.7,17.4,8.4,3.9,17.3,16.9,14.8,13.6,23.1,10.5,9.1,8.9,6.0,19.6,16.1,17.6,14.4,12.1,2015.07.3
34,34,4.5,2.6,1.9,0.0,2.9,8.7,1.0,0.0,1.4,4.2,4.3,0.0,3.6,1.5,0.0,2.1,0.0,2.0,0.0,0.0,2.1,1.6,2015.07.4
35,35,103.0,110.3,103.9,94.6,108.7,108.0,102.9,99.7,105.0,109.1,107.4,104.1,112.5,103.4,95.4,101.8,97.1,111.1,100.1,104.0,104.4,103.5,2015.07.5
36,36,0.9,1.3,0.0,0.0,1.5,2.5,1.0,0.0,0.0,2.1,0.0,0.0,0.0,1.7,1.3,0.0,1.4,0.0,3.9,0.0,0.6,0.5,2015.08
37,37,11.9,9.3,2.4,10.9,10.5,8.8,4.0,13.4,4.2,9.3,7.6,8.9,4.3,3.1,6.5,13.8,6.6,3.5,9.3,15.1,8.7,8.2,2015.08.1
38,38,63.7,62.5,67.6,74.6,67.2,53.8,80.3,76.5,71.1,69.6,74.7,75.2,58.1,74.8,72.5,70.8,75.9,84.5,61.8,76.7,68.8,72.8,2015.08.2
