,Unnamed: 0,섬유제품;의복제외,의복의복악세서리및모피제품,가죽가방및신발,목재및나무제품;가구제외,펄프종이및종이제품,인쇄및기록매체복제업,화학물질및화학제품;의약품제외,의료용물질및의약품,고무제품및플라스틱제품,비금속광물제품,1차금속,금속가공제품;기계및가구제외,전자부품컴퓨터영상음향및통신장비,의료정밀광학기기및시계,전기장비,기타기계및장비,자동차및트레일러,기타운송장비,가구,기타제품,경공업,중화학공업,시기
0,0,10.9,11.4,8.6,11.2,9.2,9.9,7.1,0.0,5.8,15.7,10.8,3.4,4.6,1.7,4.3,10.8,5.0,4.8,4.3,2.3,0.0,0.0,2015.02
1,1,39.5,37.5,23.9,38.5,30.4,33.6,21.1,12.5,30.3,18.0,37.8,23.0,27.3,30.5,27.5,30.0,33.5,38.1,33.0,33.6,0.0,0.0,2015.02.1
2,2,46.4,42.9,53.7,37.7,54.4,41.5,53.4,75.3,50.6,52.8,48.0,64.4,53.3,56.5,53.3,47.3,56.3,47.2,43.7,47.1,0.0,0.0,2015.02.2
3,3,3.1,8.1,13.8,12.6,6.0,15.0,18.4,10.5,13.3,13.5,3.4,7.8,12.6,11.3,12.1,11.9,5.2,9.9,19.1,17.0,0.0,0.0,2015.02.3
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1.5,2.3,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.02.4
5,5,70.9,73.9,86.3,75.8,78.6,80.8,91.6,100.6,85.7,82.1,72.1,90.5,90.4,88.7,90.9,80.2,80.9,81.0,88.8,89.4,0.0,0.0,2015.02.5
6,6,4.8,9.2,3.9,4.9,7.3,8.6,6.1,1.6,3.8,7.3,7.6,5.3,2.1,5.1,3.9,3.1,2.9,1.3,5.8,0.0,4.8,4.5,2015.03
7,7,35.3,27.0,31.1,33.6,21.7,25.3,12.5,3.1,26.2,17.3,36.8,26.7,13.4,22.9,20.7,37.4,16.9,17.3,29.9,25.8,27.3,24.5,2015.03.1
8,8,41.4,46.8,41.3,43.8,52.2,49.4,56.9,74.7,56.9,47.9,43.5,41.9,53.1,56.6,47.0,44.5,57.7,65.7,47.6,69.4,52.7,48.9,2015.03.2
9,9,18.6,15.8,23.7,17.7,17.3,16.7,24.5,14.8,13.1,27.5,12.1,23.7,29.4,15.5,28.4,13.9,21.1,15.6,14.7,4.8,14.9,21.0,2015.03.3
10,10,0.0,1.2,0.0,0.0,1.4,0.0,0.0,5.9,0.0,0.0,0.0,2.4,2.1,0.0,0.0,1.1,1.4,0.0,1.9,0.0,0.3,1.1,2015.03.4
11,11,86.9,86.4,92.4,87.2,91.9,87.0,99.9,110.2,89.6,97.8,80.0,95.7,108.1,91.2,100.0,86.3,100.6,97.8,88.5,89.5,89.3,94.9,2015.03.5
12,12,9.1,14.2,3.4,7.8,9.2,9.0,3.5,1.0,4.1,2.1,1.0,4.5,7.4,6.3,3.9,4.1,4.8,4.2,12.0,4.5,6.8,4.1,2015.04
13,13,17.2,14.8,14.8,20.1,25.7,32.7,14.9,2.6,18.1,16.0,34.2,22.7,8.1,16.1,30.6,29.7,17.2,10.5,25.7,21.2,19.7,22.1,2015.04.1
14,14,53.9,53.3,54.5,47.9,62.1,48.3,64.0,75.5,58.2,50.9,51.1,49.3,64.4,67.3,47.2,52.7,61.8,70.7,51.7,53.6,56.5,55.7,2015.04.2
15,15,19.8,17.8,25.5,24.2,3.0,10.0,16.4,20.9,18.1,31.0,13.7,20.4,15.8,10.2,18.2,12.4,16.3,14.6,10.6,20.7,16.7,16.8,2015.04.3
16,16,0.0,0.0,1.8,0.0,0.0,0.0,1.1,0.0,1.3,0.0,0.0,3.1,4.3,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.4,1.4,2015.04.4
17,17,92.2,87.3,103.8,94.2,79.5,79.7,98.4,108.1,97.2,105.5,88.7,97.5,100.8,90.8,89.8,88.3,94.8,97.9,80.4,95.2,92.1,94.6,2015.04.5
18,18,10.1,10.8,4.5,10.3,7.7,0.6,6.4,0.0,1.4,3.4,5.0,4.6,5.8,6.3,3.2,3.1,0.6,4.2,14.3,12.8,5.4,4.0,2015.05
19,19,25.4,31.6,25.1,25.7,18.4,52.2,16.1,5.8,24.3,11.1,27.5,19.4,11.8,18.8,26.1,27.5,17.7,13.5,25.5,20.8,24.7,20.4,2015.05.1
20,20,46.7,44.3,47.8,48.6,60.4,34.3,50.8,72.3,46.7,51.9,59.4,52.2,60.8,55.1,55.5,51.6,65.8,65.9,50.3,52.0,50.7,55.8,2015.05.2
21,21,17.8,13.3,20.4,15.4,13.5,12.9,25.5,21.9,27.6,33.6,8.2,23.8,21.6,18.3,15.2,16.7,15.9,14.2,9.9,14.3,18.8,19.4,2015.05.3
22,22,0.0,0.0,2.2,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.2,0.0,2.0,0.0,0.0,0.4,0.4,2015.05.4
23,23,86.1,80.0,95.4,84.6,89.9,79.8,99.4,108.1,100.3,107.8,85.4,97.6,99.1,94.9,91.3,92.7,98.5,98.2,77.9,83.9,92.1,95.9,2015.05.5
24,24,8.2,9.5,4.7,4.9,5.9,4.9,5.2,0.5,1.4,4.2,8.0,2.0,6.8,3.4,7.0,5.5,1.4,4.4,7.9,2.3,4.2,4.6,2015.06
25,25,29.7,20.5,16.6,34.7,18.9,45.3,14.4,6.4,21.3,16.8,34.6,21.2,12.9,22.3,18.0,26.1,16.9,19.7,31.9,28.3,24.0,21.0,2015.06.1
26,26,49.4,59.4,54.8,54.8,59.3,46.1,65.8,65.4,58.5,58.8,44.3,56.8,53.3,59.1,57.4,61.0,69.7,67.2,49.0,59.2,56.4,58.9,2015.06.2
27,27,11.7,10.5,19.7,5.5,15.9,1.3,14.5,27.7,18.8,19.0,13.1,20.0,27.0,15.2,17.6,7.5,9.8,8.6,11.3,10.2,14.7,15.2,2015.06.3
28,28,0.9,0.0,4.2,0.0,0.0,2.5,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.7,0.3,2015.06.4
29,29,83.7,85.5,101.0,80.5,92.6,75.5,94.8,110.2,97.4,98.1,81.2,97.4,100.3,93.1,92.7,85.2,97.2,90.0,81.8,88.7,91.8,92.8,2015.06.5
30,30,11.2,16.6,12.7,6.4,11.6,18.3,15.7,2.8,4.3,8.5,9.7,3.3,2.3,7.4,7.2,4.4,2.0,8.1,18.6,5.1,7.7,6.0,2015.07
31,31,31.4,36.5,35.7,39.7,33.4,46.9,15.3,10.1,32.0,28.3,36.0,21.0,20.6,20.4,24.1,32.5,22.9,28.2,23.8,38.6,34.1,25.2,2015.07.1
32,32,48.6,37.1,40.7,51.4,47.8,34.8,57.6,65.3,51.8,40.3,51.4,63.9,65.0,61.6,54.1,52.4,69.9,49.3,50.9,53.2,47.1,58.0,2015.07.2
33,33,6.2,8.0,10.8,2.5,5.8,0.0,9.8,21.7,10.3,22.1,2.8,11.8,8.8,10.6,14.6,9.5,5.1,14.4,6.8,3.1,10.1,10.1,2015.07.3
34,34,2.7,1.8,0.0,0.0,1.4,0.0,1.7,0.0,1.5,0.7,0.0,0.0,3.2,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.0,0.8,2015.07.4
35,35,78.9,71.0,74.9,75.0,76.0,58.2,83.3,103.0,86.4,89.2,73.7,92.1,95.0,87.7,88.0,85.3,89.1,85.0,72.9,77.2,81.2,87.2,2015.07.5
36,36,14.1,12.1,11.5,12.1,13.7,11.8,14.3,3.7,8.3,6.3,6.9,7.5,9.3,5.0,5.2,7.4,5.8,5.4,16.7,8.2,9.1,7.7,2015.08
37,37,30.0,27.8,34.3,22.8,31.0,51.3,23.4,12.2,40.3,33.5,31.6,30.4,21.9,32.3,26.8,35.8,21.2,31.1,47.8,31.4,32.6,28.8,2015.08.1
38,38,44.2,44.9,37.1,54.9,46.4,34.9,52.9,74.4,38.4,45.2,50.8,47.0,53.9,49.3,58.8,47.8,62.6,50.8,28.7,50.7,46.4,51.9,2015.08.2
39,39,10.8,13.8,17.0,10.1,8.9,2.0,9.5,9.7,12.9,12.9,10.7,15.1,14.9,12.3,7.9,8.9,10.5,12.8,6.8,9.8,11.2,11.4,2015.08.3
40,40,0.9,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,1.1,1.3,0.0,0.0,0.0,0.0,0.0,0.8,0.3,2015.08.4
41,41,77.2,82.3,79.8,81.5,75.3,63.5,78.8,95.0,78.0,85.5,82.7,84.8,87.2,86.0,86.6,79.1,88.9,85.5,62.8,81.0,81.0,83.9,2015.08.5
42,42,8.1,7.9,6.3,7.3,5.9,17.1,15.3,1.0,5.5,3.5,7.4,3.5,9.8,5.0,9.4,9.8,5.4,6.6,16.8,12.4,5.6,7.7,2015.09
43,43,28.1,30.6,28.4,24.8,23.3,23.9,20.2,7.5,26.8,23.2,27.5,24.4,21.7,28.0,22.6,20.7,27.1,17.1,26.7,29.4,26.7,23.1,2015.09.1
44,44,49.0,41.5,41.2,52.0,45.0,37.5,56.4,71.7,53.3,47.4,50.2,56.3,50.9,53.0,51.7,58.2,49.5,62.5,51.0,48.6,51.0,54.1,2015.09.2
45,45,14.8,19.9,24.1,15.9,25.9,21.5,8.1,19.7,14.4,25.9,15.0,15.8,16.9,13.9,16.4,11.3,18.0,13.8,4.0,9.5,16.1,15.0,2015.09.3
46,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.6,0.1,2015.09.4
47,47,85.3,86.7,91.5,88.2,95.4,81.7,78.6,105.1,88.2,97.8,86.4,92.2,88.5,87.9,87.5,85.5,90.1,91.7,73.4,77.6,89.7,88.3,2015.09.5
48,48,6.3,9.3,8.5,5.1,5.8,4.6,8.7,5.7,2.9,7.4,3.5,2.2,2.3,0.0,3.8,11.4,5.1,8.2,12.3,9.9,4.1,5.7,2015.10
49,49,22.1,22.4,23.9,29.6,25.8,27.5,20.6,6.0,26.3,24.0,29.2,23.5,25.8,25.4,19.9,19.2,17.7,15.4,20.0,28.6,22.4,22.0,2015.10.1
50,50,54.4,46.7,49.3,48.3,48.6,43.3,53.2,66.4,53.2,42.1,46.4,59.6,51.9,62.1,49.3,55.8,54.7,54.5,59.5,51.3,55.7,53.8,2015.10.2
51,51,17.1,21.5,18.3,17.0,19.8,24.5,17.5,21.9,17.7,25.4,20.9,13.3,20.0,12.5,25.6,13.5,22.5,19.8,6.8,10.2,17.8,18.1,2015.10.3
52,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.4,0.0,0.0,1.3,0.0,0.0,2.0,1.4,0.0,0.1,0.5,2015.10.4
53,53,91.2,90.3,88.7,88.6,91.2,93.8,89.7,102.2,92.9,94.4,92.3,94.0,94.8,93.6,100.3,85.7,97.3,96.0,82.5,80.9,93.7,92.9,2015.10.5
54,54,4.9,11.4,11.7,5.0,5.7,12.7,3.1,0.0,5.5,4.4,5.6,5.8,4.4,4.6,8.3,12.2,5.3,10.9,17.1,5.7,5.6,6.8,2015.11
55,55,27.9,24.1,33.6,21.0,26.7,22.9,15.4,5.3,35.5,18.4,26.0,20.6,23.6,24.6,23.2,27.0,26.9,16.4,23.2,26.2,24.9,22.9,2015.11.1
56,56,50.2,46.1,42.5,61.5,52.3,38.3,68.6,64.7,40.4,52.1,52.1,58.9,60.0,60.8,50.7,43.1,51.3,51.0,46.9,59.9,52.5,54.1,2015.11.2
57,57,17.0,18.5,12.1,12.4,13.9,26.1,11.2,30.0,17.1,25.1,16.4,14.7,9.8,8.4,16.6,17.6,16.6,21.8,11.3,8.2,16.4,15.7,2015.11.3
58,58,0.0,0.0,0.0,0.0,1.4,0.0,1.7,0.0,1.5,0.0,0.0,0.0,2.3,1.6,1.3,0.0,0.0,0.0,1.5,0.0,0.6,0.6,2015.11.4
59,59,89.6,85.8,77.5,90.7,89.3,88.9,96.4,112.4,86.8,99.0,89.6,91.3,91.0,88.9,89.8,83.0,89.6,91.8,78.5,85.3,90.7,90.2,2015.11.5
60,60,10.8,18.1,11.1,7.9,4.5,8.8,8.0,1.0,7.2,4.9,3.9,5.4,8.5,5.1,10.5,15.1,8.6,12.1,14.5,5.8,7.4,8.5,2015.12
61,61,24.7,29.2,47.3,43.0,26.8,14.4,25.8,6.4,33.9,29.8,42.1,36.9,25.7,23.7,33.5,28.6,17.3,16.6,28.3,32.9,27.7,29.6,2015.12.1
62,62,56.9,40.7,28.6,39.3,52.4,42.6,55.2,76.7,45.9,48.5,42.3,43.3,51.3,64.9,45.4,46.4,64.8,59.1,45.3,52.3,49.3,49.9,2015.12.2
