,Unnamed: 0,섬유제품;의복제외,"의복,의복악세서리및모피제품","가죽,가방및신발",목재및나무제품;가구제외,"펄프,종이및종이제품",인쇄및기록매체복제업,화학물질및화학제품;의약품제외,의료용물질및의약품,고무제품및플라스틱제품,비금속광물제품,1차금속,금속가공제품;기계및가구제외,"전자부품,컴퓨터,영상,음향및통신장비","의료,정밀,광학기기및시계",전기장비,기타기계및장비,자동차및트레일러,기타운송장비,가구,기타제품,경공업,중화학공업,비제조업,건설업,서비스업,도매 및 소매업,운수업,숙박 및 음식점업,"출판,영상,방송통신 및 정보서비스업",부동산업 및 임대업,"전문,과학 및 기술서비스업",사업시설관리 및 사업지원서비스업,교육서비스업,"예술,스포츠 및 여가관련서비스업",수리 및 기타개인서비스업,시기
0,0,61.4,67.6,104.1,50.0,87.5,73.5,97.2,101.9,92.1,96.6,77.7,85.4,98.5,92.5,82.2,82.3,88.1,88.5,80.3,73.2,0.0,0.0,85.5,100.0,84.8,83.9,102.2,0.0,105.2,0.0,89.1,83.2,50.0,100.0,100.0,2015.02 월
1,1,75.9,68.0,100.0,33.6,97.1,93.9,110.2,113.8,92.1,99.4,81.9,85.1,112.6,96.6,90.6,88.9,97.5,97.3,78.8,78.0,87.1,96.5,99.1,85.3,99.8,100.3,117.0,0.0,68.1,0.0,88.3,83.2,0.0,100.0,100.0,2015.03 월
2,2,73.9,77.5,104.9,50.0,75.2,100.8,97.7,107.4,89.3,110.4,95.4,85.2,104.7,98.9,86.5,81.8,93.8,87.6,84.5,94.7,88.0,92.6,80.3,100.0,79.0,77.1,113.7,0.0,90.1,0.0,100.8,77.8,0.0,100.0,48.4,2015.04 월
3,3,87.5,73.5,105.3,68.8,96.9,71.1,102.7,106.3,91.8,94.0,79.7,89.2,100.8,99.8,85.1,81.2,97.4,96.5,87.0,83.7,88.2,91.8,77.1,80.9,76.8,75.5,117.4,0.0,107.7,0.0,79.5,61.0,0.0,50.0,72.6,2015.05 월
4,4,85.1,98.8,113.5,100.0,102.9,115.6,94.2,115.8,94.8,84.8,87.4,85.0,87.7,89.2,83.0,81.0,104.9,93.6,75.1,81.7,96.0,89.8,72.8,89.9,71.5,69.0,117.4,0.0,110.5,0.0,74.0,100.0,0.0,100.0,50.0,2015.06 월
5,5,66.4,72.6,71.2,50.0,77.8,44.3,83.2,109.2,89.9,82.0,76.8,84.5,96.5,80.1,71.4,85.1,83.5,77.6,70.1,68.4,82.1,84.2,80.8,79.8,80.9,80.0,93.8,0.0,95.5,0.0,93.8,100.0,0.0,50.0,100.0,2015.07 월
6,6,69.5,74.7,82.0,50.0,78.8,63.2,81.8,86.1,72.2,81.5,91.1,75.8,90.6,87.6,84.7,69.8,91.3,75.0,51.5,77.2,80.3,81.8,79.2,73.9,79.5,79.5,87.4,0.0,100.0,0.0,72.3,43.1,0.0,0.0,100.0,2015.08 월
7,7,71.8,80.9,79.9,50.8,102.5,83.8,87.9,111.7,85.8,81.9,89.4,93.5,94.5,90.8,73.9,87.5,92.8,82.7,88.8,89.2,87.3,89.4,80.2,86.8,79.7,79.4,42.3,100.0,95.3,100.0,102.0,70.8,0.0,0.0,100.0,2015.09 월
8,8,82.5,93.9,96.2,63.5,100.0,75.9,94.1,104.1,82.7,87.6,91.3,83.1,93.7,92.0,91.2,82.0,98.2,82.4,83.9,85.5,89.8,89.9,71.7,102.1,68.5,67.2,63.1,55.0,97.7,50.0,98.6,74.0,0.0,0.0,100.0,2015.10 월
9,9,72.3,94.0,60.3,66.7,90.1,78.5,86.5,104.4,87.8,83.9,80.9,88.8,95.3,81.9,73.7,80.2,92.7,89.1,87.7,84.1,87.8,85.9,75.3,76.2,75.3,74.1,83.5,0.0,85.1,50.0,95.7,77.4,0.0,100.0,100.0,2015.11 월
10,10,66.2,76.0,71.0,63.9,89.5,74.5,86.2,97.7,76.0,78.7,88.4,74.6,80.8,87.6,69.1,74.3,86.7,75.1,79.3,81.7,80.8,80.5,85.0,78.0,85.7,85.0,87.1,95.5,96.5,100.0,94.2,80.1,0.0,100.0,100.0,2015.12 월
11,11,70.0,69.2,85.6,68.5,102.7,75.7,82.8,101.7,83.3,78.6,89.4,72.7,87.9,74.3,88.2,76.2,88.1,84.9,77.3,80.1,83.7,82.7,79.2,91.3,77.7,77.4,91.9,50.0,77.4,74.6,79.6,74.1,0.0,83.7,73.0,2016.01 월
