,섬유제품;의복제외,"의복,의복악세서리및모피제품","가죽,가방및신발",목재및나무제품;가구제외,"펄프,종이및종이제품",인쇄및기록매체복제업,화학물질및화학제품;의약품제외,의료용물질및의약품,고무제품및플라스틱제품,비금속광물제품,1차금속,금속가공제품;기계및가구제외,"전자부품,컴퓨터,영상,음향및통신장비","의료,정밀,광학기기및시계",전기장비,기타기계및장비,자동차및트레일러,기타운송장비,가구,기타제품,경공업,중화학공업,비제조업,건설업,서비스업,도매 및 소매업,운수업,숙박 및 음식점업,"출판,영상,방송통신 및 정보서비스업",부동산업 및 임대업,"전문,과학 및 기술서비스업",사업시설관리 및 사업지원서비스업,교육서비스업,"예술,스포츠 및 여가관련서비스업",수리 및 기타개인서비스업,시기
0,61.5,71.7,81.6,70.2,78.6,77.4,83.9,93.5,77.5,79.9,70.1,84.9,84.4,84.3,86.2,72.2,80.3,78.9,83.2,78.2,0.0,0.0,81.5,77.3,82.8,82.2,77.2,75.6,92.5,84.0,91.9,85.6,94.2,69.5,80.9,2015.02 월
1,80.1,73.9,96.2,76.8,86.9,82.3,94.9,114.5,84.8,93.2,74.5,91.3,104.1,88.8,90.3,78.7,93.2,95.3,82.8,88.1,84.4,89.2,89.6,85.6,90.7,88.2,94.9,101.7,92.4,97.3,94.4,97.7,94.2,104.6,87.6,2015.03 월
2,81.8,77.3,95.7,88.7,78.7,74.1,93.9,108.5,91.3,93.9,79.5,91.3,90.9,88.8,87.2,79.6,84.2,90.4,77.7,89.8,86.5,87.0,87.7,83.6,88.6,86.1,93.3,94.3,93.5,96.9,90.8,92.3,90.4,109.9,87.7,2015.04 월
3,75.5,74.3,89.4,82.7,89.1,69.5,97.8,109.8,96.6,94.7,80.1,92.2,95.8,89.5,86.3,86.2,87.5,92.8,72.2,81.9,86.4,90.0,91.3,84.0,93.4,93.0,86.9,104.3,93.9,99.4,94.5,89.6,96.8,106.1,84.6,2015.05 월
4,77.9,80.1,92.8,81.1,79.6,66.4,92.6,109.6,90.9,87.9,80.1,91.2,97.5,87.0,84.3,80.5,90.7,88.8,73.5,85.2,85.6,87.9,87.9,82.5,89.6,88.5,91.5,92.9,89.1,99.7,89.5,89.7,98.8,97.4,85.2,2015.06 월
5,71.6,72.3,70.5,75.7,68.8,54.4,80.2,95.3,81.7,83.6,72.3,85.3,91.6,83.5,82.1,77.7,83.2,79.2,69.8,74.1,77.4,81.8,77.4,80.7,76.4,73.4,78.2,75.1,86.5,94.5,85.9,80.7,90.8,77.3,82.4,2015.07 월
6,72.5,71.3,75.1,77.5,73.1,56.2,76.1,91.8,74.7,79.7,77.3,79.9,80.1,78.4,81.0,75.7,81.5,77.4,60.1,73.7,76.5,78.8,76.1,77.7,75.8,73.7,78.8,75.5,81.3,92.2,85.2,84.8,98.8,82.5,80.6,2015.08 월
7,82.7,78.1,80.8,81.3,86.1,77.3,76.8,101.6,82.1,86.5,80.7,87.4,84.9,82.7,80.6,80.5,87.6,87.3,72.1,68.5,83.5,83.5,86.6,84.2,87.1,86.3,89.7,83.1,92.9,86.1,91.6,89.6,103.5,84.5,84.0,2015.09 월
8,85.9,81.4,81.0,85.5,85.5,89.4,81.7,95.3,83.6,85.4,88.0,91.8,83.4,86.6,90.3,79.5,96.9,93.6,78.1,76.9,88.0,87.2,89.3,85.2,90.1,89.3,91.5,96.3,91.1,95.0,91.9,95.0,88.5,96.0,83.1,2015.10 월
9,82.6,80.3,76.4,88.2,85.1,90.8,96.7,102.7,82.1,95.2,87.9,85.0,89.1,85.2,83.4,79.7,84.6,90.1,71.8,81.7,85.5,86.5,86.9,83.2,87.7,87.3,91.8,92.4,88.8,90.5,88.9,86.4,78.1,81.2,78.9,2015.11 월
