,Unnamed: 0,섬유제품;의복제외,의복의복악세서리및모피제품,가죽가방및신발,목재및나무제품;가구제외,펄프종이및종이제품,인쇄및기록매체복제업,화학물질및화학제품;의약품제외,의료용물질및의약품,고무제품및플라스틱제품,비금속광물제품,1차금속,금속가공제품;기계및가구제외,전자부품컴퓨터영상음향및통신장비,의료정밀광학기기및시계,전기장비,기타기계및장비,자동차및트레일러,기타운송장비,가구,기타제품,경공업,중화학공업,시기
0,0,0.0,1.6,0.0,2.7,0.0,0.0,1.0,0.0,4.1,5.0,1.9,0.0,0.7,1.7,4.3,1.3,0.0,0.0,2.1,1.2,0.0,0.0,2015.02
1,1,4.0,6.3,9.7,6.6,7.6,6.4,7.6,7.1,15.3,16.4,8.2,16.5,6.5,11.4,9.1,13.3,7.7,8.6,16.9,8.1,0.0,0.0,2015.02.1
2,2,71.0,59.7,60.7,71.5,65.1,71.2,73.0,92.4,62.6,57.3,70.8,70.0,76.0,77.7,73.2,71.1,78.0,74.3,69.3,83.5,0.0,0.0,2015.02.2
3,3,21.4,32.4,26.0,19.2,25.7,17.4,16.5,0.5,18.1,15.0,15.6,12.1,16.7,9.2,13.4,14.3,14.3,17.1,11.7,7.1,0.0,0.0,2015.02.3
4,4,3.6,0.0,3.6,0.0,1.5,5.0,1.9,0.0,0.0,6.3,3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.02.4
5,5,112.3,111.4,111.7,103.6,110.6,110.5,105.4,96.7,97.3,100.7,105.3,99.3,104.4,97.2,97.9,99.2,103.3,104.3,95.2,98.2,0.0,0.0,2015.02.5
6,6,0.0,2.5,0.0,0.0,1.4,0.7,0.9,0.0,2.7,2.0,1.0,0.0,2.1,1.7,1.3,2.2,0.0,0.0,3.9,2.2,1.3,1.1,2015.03
7,7,8.9,4.0,7.8,6.6,8.7,5.1,6.8,3.6,7.9,15.4,9.5,12.6,6.7,8.1,10.3,7.9,8.0,17.4,14.6,10.0,8.8,9.4,2015.03.1
8,8,58.7,66.7,69.5,73.3,71.1,70.8,77.2,95.9,70.9,63.0,67.2,72.7,75.3,78.4,73.0,73.9,79.5,69.8,69.8,80.6,71.3,73.7,2015.03.2
9,9,32.3,22.2,22.7,20.1,15.9,21.1,13.1,0.5,17.2,19.6,20.1,14.6,15.2,11.8,15.5,15.1,12.5,12.8,8.7,7.2,17.1,15.0,2015.03.3
10,10,0.0,4.4,0.0,0.0,2.9,2.3,1.9,0.0,1.4,0.0,2.1,0.0,0.7,0.0,0.0,0.8,0.0,0.0,3.0,0.0,1.5,0.7,2015.03.4
11,11,111.7,111.0,107.5,106.7,105.1,109.7,104.1,98.4,103.3,100.2,106.4,101.0,102.8,100.2,101.3,102.2,102.3,97.7,96.2,96.4,104.4,102.3,2015.03.5
12,12,0.0,2.6,0.0,0.0,3.0,2.5,1.9,0.5,1.3,2.1,0.0,0.0,3.9,0.0,1.3,2.2,1.4,1.3,6.0,4.5,1.3,1.4,2015.04
13,13,1.5,5.9,9.6,20.1,3.0,7.8,6.8,9.9,8.1,11.2,9.0,17.0,7.5,9.4,6.6,13.2,6.9,2.9,11.5,7.2,7.1,10.6,2015.04.1
14,14,66.7,67.6,66.7,59.0,68.4,65.8,71.5,84.9,74.1,66.2,66.6,70.6,70.4,72.2,81.1,72.7,77.1,84.0,71.5,72.8,71.4,72.4,2015.04.2
15,15,23.8,21.4,23.7,20.8,21.0,24.0,17.7,4.7,15.1,15.3,24.4,12.3,17.6,18.4,11.0,11.8,14.6,8.4,11.0,15.5,17.9,14.9,2015.04.3
16,16,8.0,2.5,0.0,0.0,4.6,0.0,2.1,0.0,1.3,5.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.4,0.0,0.0,2.3,0.6,2015.04.4
17,17,119.1,107.6,107.1,100.3,110.6,105.6,105.7,96.9,103.5,105.2,107.7,97.7,101.8,104.5,100.9,97.1,102.4,104.8,93.7,99.7,106.4,101.3,2015.04.5
18,18,2.5,0.9,0.0,0.0,1.5,0.0,2.1,0.0,0.0,0.0,1.1,0.0,0.7,1.6,2.6,2.3,1.4,0.0,4.1,0.0,1.1,1.3,2015.05
19,19,4.2,11.1,7.6,10.9,6.0,1.4,10.1,8.4,12.7,8.2,8.8,13.2,5.6,9.2,3.9,8.1,8.1,7.0,6.6,10.2,8.5,8.8,2015.05.1
20,20,63.1,66.0,70.2,64.6,74.4,64.3,66.7,86.9,73.7,66.2,63.3,74.6,79.7,75.1,76.4,79.7,68.7,82.5,77.6,71.5,71.9,73.5,2015.05.2
21,21,22.2,20.8,19.9,22.0,16.6,34.3,19.3,4.7,12.2,25.6,26.9,12.1,13.3,12.6,17.2,9.9,19.7,10.5,11.7,17.1,16.0,15.9,2015.05.3
22,22,7.9,1.2,2.2,2.6,1.5,0.0,1.9,0.0,1.4,0.0,0.0,0.0,0.7,1.5,0.0,0.0,2.0,0.0,0.0,1.3,2.5,0.5,2015.05.4
23,23,114.4,105.1,108.4,108.1,105.3,116.4,104.4,98.2,101.1,108.7,108.0,99.4,103.8,101.5,104.1,98.6,106.4,101.8,98.5,104.7,105.2,102.8,2015.05.5
24,24,0.0,1.3,0.0,2.5,0.0,0.0,1.0,0.0,1.4,2.9,0.0,0.0,2.5,0.0,0.0,1.1,0.0,0.0,3.9,0.0,1.1,0.7,2015.06
25,25,3.6,5.2,8.0,13.3,4.4,4.5,10.1,10.1,10.0,10.8,11.6,11.4,8.1,11.3,10.5,11.0,11.7,3.6,10.8,5.7,8.7,10.7,2015.06.1
26,26,62.3,63.5,73.2,65.9,79.7,76.3,69.2,86.7,67.2,60.2,67.2,77.3,74.1,76.1,78.3,75.0,69.6,85.3,76.5,79.1,72.3,73.2,2015.06.2
27,27,28.1,28.3,14.6,18.3,13.0,16.8,19.8,3.2,20.1,21.9,20.1,10.0,14.6,11.0,11.1,12.9,18.7,11.1,8.8,13.9,15.9,14.7,2015.06.3
28,28,6.0,1.8,4.2,0.0,3.0,2.5,0.0,0.0,1.4,4.2,1.1,1.3,0.8,1.5,0.0,0.0,0.0,0.0,0.0,1.2,2.1,0.7,2015.06.4
29,29,118.3,112.0,107.6,100.1,107.3,108.6,103.9,96.6,105.1,106.9,105.4,100.7,101.6,101.4,100.3,99.8,103.5,103.8,95.1,105.4,104.7,102.0,2015.06.5
30,30,0.0,2.8,1.9,5.2,4.3,0.0,1.0,0.0,0.0,2.8,0.0,1.3,0.8,1.7,0.0,1.2,1.5,0.0,1.9,2.2,0.9,1.0,2015.07
31,31,7.1,6.2,6.6,8.2,4.4,12.9,6.5,11.3,10.0,7.1,8.5,6.0,6.4,1.7,13.3,8.2,6.6,3.5,13.0,7.6,9.3,7.4,2015.07.1
32,32,56.7,56.2,70.6,64.7,68.2,63.9,69.0,83.6,62.4,59.8,60.0,72.8,67.4,84.6,68.5,81.8,76.4,80.6,70.0,73.2,66.7,72.3,2015.07.2
33,33,30.0,30.5,17.2,21.8,20.2,16.0,23.4,5.1,23.3,26.7,30.4,19.9,24.3,10.6,18.2,8.9,15.5,11.8,15.1,17.0,19.9,18.7,2015.07.3
34,34,6.3,4.4,3.8,0.0,2.9,7.3,0.0,0.0,4.3,3.6,1.1,0.0,1.2,1.5,0.0,0.0,0.0,4.1,0.0,0.0,3.2,0.5,2015.07.4
35,35,117.7,113.8,107.2,101.6,106.6,108.8,107.5,96.9,110.9,110.5,112.0,105.6,109.3,104.3,102.5,99.2,103.0,108.2,99.1,102.4,107.6,105.1,2015.07.5
36,36,0.0,1.0,2.4,0.0,1.5,0.0,1.0,0.0,1.4,0.7,0.0,1.1,0.8,1.7,0.0,1.2,1.4,0.0,2.0,0.0,0.7,0.9,2015.08
37,37,8.3,9.3,4.3,7.8,8.9,7.8,1.0,10.2,7.2,15.0,8.0,16.2,8.2,5.8,9.8,13.8,4.0,3.0,11.6,17.6,9.2,10.1,2015.08.1
38,38,55.5,56.0,56.3,64.4,68.8,63.0,72.1,82.3,67.1,65.2,69.3,64.5,67.4,68.9,66.2,71.9,77.0,85.1,62.5,65.8,66.0,69.8,2015.08.2
39,39,27.6,31.8,33.0,25.4,19.3,26.8,25.9,7.5,18.8,14.9,17.6,16.9,21.3,19.1,22.0,12.3,16.1,12.0,21.9,16.7,21.0,17.4,2015.08.3
40,40,8.5,1.9,4.0,2.4,1.5,2.5,0.0,0.0,5.5,4.2,5.1,1.3,2.4,4.5,2.0,0.9,1.4,0.0,2.0,0.0,3.1,1.9,2015.08.4
41,41,118.2,112.1,116.0,111.2,105.2,112.0,111.4,98.6,109.9,103.4,109.9,100.6,108.2,109.4,108.0,98.9,106.0,104.5,105.1,99.5,108.4,104.7,2015.08.5
42,42,0.0,2.8,2.4,0.0,1.4,0.0,0.0,0.0,1.4,0.7,0.0,0.0,0.0,1.7,1.3,2.0,2.8,0.0,4.0,0.0,0.9,0.9,2015.09
43,43,3.1,8.5,11.4,5.4,10.1,12.9,3.0,6.0,8.6,19.0,8.0,4.9,5.2,3.2,7.6,7.0,4.7,13.1,6.7,15.7,8.3,6.6,2015.09.1
44,44,71.0,56.6,62.5,63.5,62.4,64.6,74.5,90.5,65.9,59.4,72.7,76.1,69.9,80.9,69.8,82.9,74.4,72.1,81.7,65.6,70.7,75.0,2015.09.2
45,45,20.5,28.9,21.7,28.6,26.1,16.4,21.5,3.5,21.4,17.4,17.8,19.1,21.1,12.5,18.2,5.7,18.0,12.8,5.5,18.8,18.0,15.9,2015.09.3
46,46,5.5,3.2,2.0,2.4,0.0,6.2,1.0,0.0,2.8,3.5,1.5,0.0,3.8,1.7,3.1,2.3,0.0,1.9,2.0,0.0,2.1,1.6,2015.09.4
47,47,114.1,110.6,104.8,114.0,106.5,107.9,110.2,98.8,107.8,102.0,106.4,107.1,111.7,104.6,107.2,99.6,103.8,101.8,97.4,101.5,106.1,105.4,2015.09.5
48,48,0.0,3.2,2.4,2.5,1.4,0.0,0.0,0.0,2.9,2.0,0.0,1.4,2.3,0.0,0.0,0.0,1.4,2.9,3.4,0.0,1.3,0.8,2015.10
49,49,2.6,6.5,9.5,8.1,9.9,0.0,6.0,13.2,11.7,20.4,4.3,8.5,8.4,4.5,5.2,9.1,8.5,11.0,6.4,0.5,8.6,8.3,2015.10.1
50,50,72.6,63.8,63.5,62.9,65.8,76.9,66.5,75.1,66.2,54.2,73.7,77.6,69.6,71.4,74.3,78.2,71.7,80.6,71.7,72.2,71.5,73.0,2015.10.2
51,51,23.9,25.1,22.6,26.5,21.4,23.1,24.8,11.7,17.8,20.9,20.2,12.5,17.3,20.8,20.5,11.5,18.4,1.5,18.5,24.8,17.7,16.6,2015.10.3
52,52,0.9,1.3,2.0,0.0,1.5,0.0,2.7,0.0,1.4,2.5,1.8,0.0,2.3,3.3,0.0,1.2,0.0,4.0,0.0,2.5,0.8,1.2,2015.10.4
53,53,111.6,107.4,106.2,106.7,105.8,111.6,112.1,99.3,101.6,100.8,109.7,100.6,104.4,111.5,107.6,102.3,103.6,96.3,102.6,114.7,104.0,104.6,2015.10.5
54,54,0.0,2.8,1.8,0.0,1.4,0.0,0.0,0.0,1.4,0.0,0.0,1.4,0.0,1.8,0.0,1.1,1.5,0.0,5.6,0.0,1.0,0.7,2015.11
55,55,5.7,7.5,2.2,14.3,8.4,2.4,7.8,2.1,15.8,18.2,3.9,7.4,8.2,4.3,6.5,10.0,7.1,2.7,10.6,7.5,10.7,7.9,2015.11.1
56,56,66.5,60.3,70.5,65.8,63.4,73.5,74.1,86.1,61.9,58.4,68.9,76.2,70.0,77.9,80.1,77.1,67.7,80.1,69.9,69.2,68.7,73.5,2015.11.2
57,57,24.1,28.2,17.3,19.9,24.0,19.3,16.9,11.8,18.2,23.4,23.7,12.8,20.7,11.0,13.4,9.6,23.8,15.1,11.8,20.8,17.3,16.3,2015.11.3
58,58,3.7,1.3,8.2,0.0,2.8,4.8,1.2,0.0,2.8,0.0,3.5,2.1,1.1,5.0,0.0,2.3,0.0,2.0,2.1,2.5,2.4,1.6,2015.11.4
